t,s,s_track,e,e_track,dphi,dphi_track,x_ref,y_ref,z_ref,psi_ref,yaw,vx,vy,r,V,beta,rear_wheelspeed_ms,fcog_x,fcog_y,accel_x,accel_y,roadwheel_angle,rear_wheel_torque,measured_roadwheel_angle,measured_rear_wheel_torque,roadwheel_angle_rate,rear_wheel_torque_rate,kappa_track,e_min,e_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.953184127807617,-36.0,0.0,1.5707964,1.5707963705062866,0.10000000149011612,0.0,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,-0.011981022544205189,307.93377685546875,0.0,250.0,-0.5996397230774164,2854.8629760742188,-0.0,-2.25,2.25
0.02,0.002090226160362363,0.002090226160362363,0.00011335233284626156,0.00011335233284626156,0.03841114044189453,0.03841114044189453,3.953070878982544,-35.99790954589844,0.0,1.5707964,1.57078218460083,0.12248875200748444,0.004708991385996342,-0.014969125390052795,0.12257923546924418,0.038425353021623046,0.08960919082164764,0.6556519865989685,0.030075907707214355,0.6556519865989685,0.030075907707214355,-0.023973817005753517,365.0310363769531,-0.011981022544205189,307.93377685546875,-0.5997470580041409,2831.6986083984375,-0.0,-2.25,2.25
0.04,0.0045987265184521675,0.0045987265184521675,0.00020243578182999045,0.00020243578182999045,0.05332246795296669,0.05332246795296669,3.95298171043396,-35.995399475097656,0.0,1.5707964,1.5706937313079834,0.1368652731180191,0.007319010328501463,0.016524245962500572,0.13706082918857113,0.05342513422440888,0.17223317921161652,0.7306013107299805,0.046203285455703735,0.7306013107299805,0.046203285455703735,-0.035968758165836334,421.6650085449219,-0.023973817005753517,365.0310363769531,-0.5995381623506547,2807.9849243164067,-0.0,-2.25,2.25
0.06,0.007558831013739109,0.007558831013739109,0.00031187236891128123,0.00031187236891128123,0.047367170453071594,0.047367170453071594,3.9528722763061523,-35.99243927001953,0.0,1.5707964,1.57070791721344,0.16455039381980896,0.007814718410372734,-0.023095740005373955,0.1647358550227838,0.04745568206042878,0.17591674625873566,1.0645012855529785,0.045525211840867996,1.0645012855529785,0.045525211840867996,-0.047959521412849426,477.82470703125,-0.035968758165836334,421.6650085449219,-0.5929203703999518,2825.753784179687,-0.0,-2.25,2.25
0.08,0.011048240587115288,0.011048240587115288,0.00037914811400696635,0.00037914811400696635,-0.015302320942282677,-0.015302320942282677,3.9528050422668457,-35.98895263671875,0.0,1.5707964,1.5705523490905762,0.19031193852424622,-0.002865983173251152,0.012741751968860626,0.19033351729111148,-0.015058259458192417,0.23114489018917084,1.1821386814117432,-0.03992418199777603,1.1821386814117432,-0.03992418199777603,-0.059817928820848465,534.3397827148438,-0.047959521412849426,477.82470703125,-0.5975382402539252,2765.2465820312495,-0.0,-2.25,2.25
0.1,0.015118413604795933,0.015118413604795933,0.0003615216410253197,0.0003615216410253197,0.017708521336317062,0.017708521336317062,3.952822685241699,-35.98488235473633,0.0,1.5707964,1.5705132484436035,0.22349996864795685,0.004021576140075922,-0.019756801426410675,0.2235361470999447,0.017991690225917838,0.24975891411304474,1.4269133806228638,0.017566947266459465,1.4269133806228638,0.017566947266459465,-0.07176869362592697,589.6447143554688,-0.059817928820848465,534.3397827148438,-0.5608044564723972,2784.3261718750014,-0.0,-2.25,2.25
0.12,0.019851092249155045,0.019851092249155045,0.0003207326226402074,0.0003207326226402074,-0.03453200310468674,-0.03453200310468674,3.9528634548187256,-35.98014831542969,0.0,1.5707964,1.5703315734863281,0.25719836354255676,-0.008765418082475662,0.003076076041907072,0.25734768458863155,-0.03406719517150525,0.3000616729259491,1.5623754262924194,-0.0785902738571167,1.5623754262924194,-0.0785902738571167,-0.08298478275537491,645.3312377929688,-0.07176869362592697,589.6447143554688,-0.579047948122024,2730.0292968749977,-0.0,-2.25,2.25
0.14,0.02529999241232872,0.02529999241232872,0.00018911890219897032,0.00018911890219897032,-0.013959035277366638,-0.013959035277366638,3.9529950618743896,-35.974700927734375,0.0,1.5707964,1.5701961517333984,0.29575103521347046,-0.00395111134275794,-0.014783172868192196,0.29577742664152434,-0.01335879112721289,0.33575499057769775,1.7508493661880493,-0.032226551324129105,1.7508493661880493,-0.032226551324129105,-0.0945657417178154,699.9318237304688,-0.08298478275537491,645.3312377929688,-0.5365435034036639,2721.5148925781264,-0.0,-2.25,2.25
0.16,0.031531598418951035,0.031531598418951035,1.5512563550146297e-05,1.5512563550146297e-05,-0.03298071399331093,-0.03298071399331093,3.9531686305999756,-35.968467712402344,0.0,1.5707964,1.5699646472930908,0.3361935317516327,-0.010812007822096348,-0.010531972162425518,0.3363673442901096,-0.03214899038916886,0.38757285475730896,1.8937853574752808,-0.07650363445281982,1.8937853574752808,-0.07650363445281982,-0.10529661178588867,754.3621215820312,-0.0945657417178154,699.9318237304688,-0.5113244056701662,2682.4768066406264,-0.0,-2.25,2.25
0.18,0.03859668970108032,0.03859668970108032,-0.0002305038651684299,-0.0002305038651684299,-0.035725679248571396,-0.035725679248571396,3.9534146785736084,-35.961402893066406,0.0,1.5707964,1.569696307182312,0.3795967400074005,-0.013149048201739788,-0.01492387242615223,0.3798244100803129,-0.03462567360320874,0.4429355263710022,2.0386643409729004,-0.08288171887397766,2.0386643409729004,-0.08288171887397766,-0.11552309989929199,808.0116577148438,-0.10529661178588867,754.3621215820312,-0.46612322330474815,2637.75939941406,-0.0,-2.25,2.25
0.2,0.04655080661177635,0.04655080661177635,-0.0005436878418549895,-0.0005436878418549895,-0.04072807729244232,-0.04072807729244232,3.9537277221679688,-35.95344924926758,0.0,1.5707964,1.5693614482879639,0.42575445771217346,-0.01673784665763378,-0.018212122842669487,0.4260833413459406,-0.03929314497617403,0.5043120384216309,2.1806933879852295,-0.09740335494279861,2.1806933879852295,-0.09740335494279861,-0.12484556436538696,860.766845703125,-0.11552309989929199,808.0116577148438,-0.4058651626110079,2582.8674316406264,-0.0,-2.25,2.25
0.22,0.05544979125261307,0.05544979125261307,-0.0009341732366010547,-0.0009341732366010547,-0.04525791481137276,-0.04525791481137276,3.954118251800537,-35.944549560546875,0.0,1.5707964,1.5689573287963867,0.47466421127319336,-0.02062234655022621,-0.02189292013645172,0.47511198115901093,-0.04341887456090516,0.5711066126823425,2.320535659790039,-0.11237800121307373,2.320535659790039,-0.11237800121307373,-0.13296286761760712,912.4241943359375,-0.12484556436538696,860.766845703125,-0.33105015754699724,2514.5996093750014,-0.0,-2.25,2.25
0.24,0.06534823030233383,0.06534823030233383,-0.0014088333118706942,-0.0014088333118706942,-0.049304019659757614,-0.049304019659757614,3.9545929431915283,-35.93465042114258,0.0,1.5707964,1.5684788227081299,0.5262463688850403,-0.024744635447859764,-0.02580716647207737,0.5268278065441662,-0.04698640118261647,0.643546998500824,2.4570014476776123,-0.12739478051662445,2.4570014476776123,-0.12739478051662445,-0.13958387076854706,962.7161865234375,-0.13296286761760712,912.4241943359375,-0.24515911936759927,1864.1906738281234,-0.0,-2.25,2.25
0.26,0.0762990340590477,0.0762990340590477,-0.0019727484323084354,-0.0019727484323084354,-0.052742764353752136,-0.052742764353752136,3.9551568031311035,-35.92369842529297,0.0,1.5707964,1.5679224729537964,0.5804168581962585,-0.028968721628189087,-0.029848746955394745,0.5811393259031669,-0.04986881952278289,0.7218371033668518,2.589432716369629,-0.1415499895811081,2.589432716369629,-0.1415499895811081,-0.14448705315589905,1000.0,-0.13958387076854706,962.7161865234375,-0.14612302184104906,0.0,-0.0,-2.25,2.25
0.28,0.08835174143314362,0.08835174143314362,-0.0026288232766091824,-0.0026288232766091824,-0.05553686246275902,-0.05553686246275902,3.955812931060791,-35.91164779663086,0.0,1.5707964,1.5672873258590698,0.6367751359939575,-0.03315996378660202,-0.03386747092008591,0.6376379513630379,-0.05202784517574887,0.8025860786437988,2.708709716796875,-0.1540687382221222,2.708709716796875,-0.1540687382221222,-0.14740951359272003,1000.0,-0.14448705315589905,1000.0,-0.06691291928291333,0.0,-0.0,-2.25,2.25
0.3,0.10154253244400024,0.10154253244400024,-0.0033772275783121586,-0.0033772275783121586,-0.057677462697029114,-0.057677462697029114,3.956561326980591,-35.89845657348633,0.0,1.5707964,1.5665762424468994,0.6941476464271545,-0.03714274242520332,-0.037608567625284195,0.6951406608415472,-0.053457438002192395,0.8757094144821167,2.789991855621338,-0.16397203505039215,2.789991855621338,-0.16397203505039215,-0.1487477719783783,1000.0,-0.14740951359272003,1000.0,-0.004517287015914913,0.0,-0.0,-2.25,2.25
0.32,0.11588173359632492,0.11588173359632492,-0.004215601831674576,-0.004215601831674576,-0.0591622032225132,-0.0591622032225132,3.957399845123291,-35.884117126464844,0.0,1.5707964,1.565794825553894,0.7516696453094482,-0.04075081646442413,-0.04105232656002045,0.7527734617546961,-0.054160711439156156,0.9479501247406006,2.833124876022339,-0.17042921483516693,2.833124876022339,-0.17042921483516693,-0.1488381177186966,1000.0,-0.1487477719783783,1000.0,0.04440024495124813,0.0,-0.0,-2.25,2.25
0.34,0.13137096166610718,0.13137096166610718,-0.005139232613146305,-0.005139232613146305,-0.06010976433753967,-0.06010976433753967,3.9583234786987305,-35.868629455566406,0.0,1.5707964,1.564948558807373,0.8092389702796936,-0.04395398125052452,-0.04420141503214836,0.8104317759608827,-0.05426188767752793,1.0202027559280396,2.855215549468994,-0.17373879253864288,2.855215549468994,-0.17373879253864288,-0.14795011281967163,1000.0,-0.1488381177186966,1000.0,0.08357763290405289,0.0,-0.0,-2.25,2.25
0.36,0.14801089465618134,0.14801089465618134,-0.006143354345113039,-0.006143354345113039,-0.060653503984212875,-0.060653503984212875,3.959327459335327,-35.851985931396484,0.0,1.5707964,1.5640426874160767,0.8668524026870728,-0.04676848649978638,-0.04706406593322754,0.8681131143888057,-0.05389981861652738,1.0925763845443726,2.8669450283050537,-0.17448794841766357,2.8669450283050537,-0.17448794841766357,-0.14627856016159058,1000.0,-0.14795011281967163,1000.0,0.115390121936798,0.0,-0.0,-2.25,2.25
