t,s,s_track,e,e_track,dphi,dphi_track,x_ref,y_ref,z_ref,psi_ref,yaw,vx,vy,r,V,beta,rear_wheelspeed_ms,fcog_x,fcog_y,accel_x,accel_y,roadwheel_angle,rear_wheel_torque,measured_roadwheel_angle,measured_rear_wheel_torque,roadwheel_angle_rate,rear_wheel_torque_rate,kappa_track,e_min,e_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.953184127807617,-36.0,0.0,1.5707964,1.5707963705062866,0.10000000149011612,0.0,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.011933565139770508,308.6641540527344,0.0,250.0,0.5889257416129112,2913.75732421875,-0.0,-2.25,2.25
0.02,0.0020912359468638897,0.0020912359468638897,7.284231105586514e-05,7.284231105586514e-05,0.02996101789176464,0.02996101789176464,3.953111171722412,-35.99790954589844,0.0,1.5707964,1.5707488059997559,0.12029659748077393,0.0036110144574195147,0.022585036233067513,0.120350782261118,0.030008583315108295,0.10759209096431732,0.5818721055984497,0.024003231897950172,0.5818721055984497,0.024003231897950172,0.023712079972028732,366.9393005371094,0.011933565139770508,308.6641540527344,0.5808647722005844,2883.1298828125,-0.0,-2.25,2.25
0.04,0.0045963856391608715,0.0045963856391608715,0.00024918720009736717,0.00024918720009736717,0.05304870754480362,0.05304870754480362,3.952934980392456,-35.99540328979492,0.0,1.5707964,1.5708273649215698,0.1398272067308426,0.007420280482620001,-0.019635098055005074,0.1400239561810426,0.05301776983931258,0.15593938529491425,0.8305890560150146,0.044459085911512375,0.8305890560150146,0.044459085911512375,0.03532937541604042,424.6018981933594,0.023712079972028732,366.9393005371094,0.5877071991562844,2870.6726074218755,-0.0,-2.25,2.25
0.06,0.007583078928291798,0.007583078928291798,0.0004366936336737126,0.0004366936336737126,0.03350518271327019,0.03350518271327019,3.952747344970703,-35.99241638183594,0.0,1.5707964,1.5707542896270752,0.16215622425079346,0.005441950634121895,0.019833184778690338,0.16224751427981213,0.0335473337898067,0.2062903493642807,0.9607435464859009,0.0199723020195961,0.9607435464859009,0.0199723020195961,0.04708351939916611,482.0153503417969,0.03532937541604042,424.6018981933594,0.5495125427842139,2818.232727050781,-0.0,-2.25,2.25
0.08,0.011095435358583927,0.011095435358583927,0.0006109899841248989,0.0006109899841248989,0.07134763151407242,0.07134763151407242,3.95257306098938,-35.9889030456543,0.0,1.5707964,1.5708551406860352,0.19563625752925873,0.013970359228551388,-0.015015387907624245,0.1961344339911511,0.07128885577675764,0.21181803941726685,1.3251093626022339,0.08020568639039993,1.3251093626022339,0.08020568639039993,0.05807377025485039,538.3800048828125,0.04708351939916611,482.0153503417969,0.5873834714293479,2817.7917480468745,-0.0,-2.25,2.25
0.1,0.015232600271701813,0.015232600271701813,0.0008330605342052877,0.0008330605342052877,0.024955930188298225,0.024955930188298225,3.9523510932922363,-35.98476791381836,0.0,1.5707964,1.5708544254302979,0.22494767606258392,0.005601893644779921,0.017582714557647705,0.22501741749998957,0.024897950235429914,0.2692716419696808,1.4015181064605713,0.006126829888671637,1.4015181064605713,0.006126829888671637,0.06982143968343735,594.73583984375,0.05807377025485039,538.3800048828125,0.5422964692115786,2737.3413085937514,-0.0,-2.25,2.25
0.12,0.020039640367031097,0.020039640367031097,0.0010491881985217333,0.0010491881985217333,0.0636875182390213,0.0636875182390213,3.952134847640991,-35.97996139526367,0.0,1.5707964,1.571002721786499,0.26344913244247437,0.01674656569957733,-0.003929126542061567,0.2639808569715286,0.063481189148512,0.2944951355457306,1.6689540147781372,0.08681190013885498,1.6689540147781372,0.08681190013885498,0.08066736906766891,649.482666015625,0.06982143968343735,594.73583984375,0.5666848272085184,2716.830444335935,-0.0,-2.25,2.25
0.14,0.025600086897611618,0.025600086897611618,0.0013419335009530187,0.0013419335009530187,0.04108746349811554,0.04108746349811554,3.9518423080444336,-35.97439956665039,0.0,1.5707964,1.5711158514022827,0.3011845648288727,0.012285522185266018,0.013200021348893642,0.30143502806827555,0.040768075586151545,0.34801775217056274,1.7866672277450562,0.04180437698960304,1.7866672277450562,0.04180437698960304,0.0920010656118393,703.8192749023438,0.08066736906766891,649.482666015625,0.5327466875314715,2631.8359375000014,-0.0,-2.25,2.25
0.16,0.0319640189409256,0.0319640189409256,0.0016749146161600947,0.0016749146161600947,0.055319029837846756,0.055319029837846756,3.9515092372894287,-35.96803665161133,0.0,1.5707964,1.5713224411010742,0.34384584426879883,0.01885920763015747,0.009638611227273941,0.34436264944584283,0.05479295649447769,0.39538705348968506,1.9632607698440552,0.08268971741199493,1.9632607698440552,0.08268971741199493,0.10265599936246872,756.4559936523438,0.0920010656118393,703.8192749023438,0.5096178501844408,2541.525268554689,-0.0,-2.25,2.25
0.18,0.039190810173749924,0.039190810173749924,0.002093940507620573,0.002093940507620573,0.058632947504520416,0.058632947504520416,3.951090097427368,-35.96080780029297,0.0,1.5707964,1.5715656280517578,0.38847091794013977,0.02250348962843418,0.013468419201672077,0.3891221673597019,0.05786371005065605,0.4536065459251404,2.1047017574310303,0.0975121259689331,2.1047017574310303,0.0975121259689331,0.11284835636615753,807.2864990234375,0.10265599936246872,756.4559936523438,0.4668131470680233,2416.64123535156,-0.0,-2.25,2.25
0.2,0.047333426773548126,0.047333426773548126,0.0026025131810456514,0.0026025131810456514,0.06352924555540085,0.06352924555540085,3.9505815505981445,-35.95266342163086,0.0,1.5707964,1.5718696117401123,0.43595343828201294,0.027263378724455833,0.016484161838889122,0.4368050963180054,0.06245602822154405,0.5162606239318848,2.246361017227173,0.11834179610013962,2.246361017227173,0.11834179610013962,0.122184619307518,855.6193237304688,0.11284835636615753,807.2864990234375,0.402411073446274,2263.8824462890634,-0.0,-2.25,2.25
0.22,0.05644616857171059,0.05644616857171059,0.0032120828982442617,0.0032120828982442617,0.0680391788482666,0.0680391788482666,3.949972152709961,-35.94355392456055,0.0,1.5707964,1.5722370147705078,0.486026793718338,0.03241664171218872,0.01983366534113884,0.4871066442495158,0.06659859358409763,0.5838000178337097,2.381808280944824,0.13939154148101807,2.381808280944824,0.13939154148101807,0.13023284077644348,900.89697265625,0.122184619307518,855.6193237304688,0.3229267895221712,2090.7562255859384,-0.0,-2.25,2.25
0.24,0.06657972186803818,0.06657972186803818,0.003930502571165562,0.003930502571165562,0.0720430314540863,0.0720430314540863,3.949253559112549,-35.93341827392578,0.0,1.5707964,1.57267165184021,0.5385202765464783,0.037848882377147675,0.023344464600086212,0.5398487067215171,0.07016773029634657,0.6559886336326599,2.5095252990722656,0.15988333523273468,2.5095252990722656,0.15988333523273468,0.1366913765668869,942.7120971679688,0.13023284077644348,900.89697265625,0.23577138781547524,1903.860473632811,-0.0,-2.25,2.25
0.26,0.07778105139732361,0.07778105139732361,0.004763245116919279,0.004763245116919279,0.07540461421012878,0.07540461421012878,3.948421001434326,-35.922218322753906,0.0,1.5707964,1.573175311088562,0.5932471752166748,0.04339946061372757,0.02689073607325554,0.5948325176754601,0.07302569450846629,0.7325677275657654,2.6284868717193604,0.17881137132644653,2.6284868717193604,0.17881137132644653,0.1414068043231964,980.789306640625,0.1366913765668869,942.7120971679688,0.15035942196845994,960.5346679687491,-0.0,-2.25,2.25
0.28,0.0900932252407074,0.0900932252407074,0.005713215097784996,0.005713215097784996,0.07805917412042618,0.07805917412042618,3.9474709033966064,-35.909908294677734,0.0,1.5707964,1.573747158050537,0.6500145792961121,0.048913586884737015,0.030352957546710968,0.6518523546627966,0.07510842907167574,0.8132291436195374,2.7381210327148438,0.19533684849739075,2.7381210327148438,0.19533684849739075,0.1444139927625656,1000.0,0.1414068043231964,980.789306640625,0.07183253765106215,0.0,-0.0,-2.25,2.25
