t,s,s_track,e,e_track,dphi,dphi_track,x_ref,y_ref,z_ref,psi_ref,yaw,vx,vy,r,V,beta,rear_wheelspeed_ms,fcog_x,fcog_y,accel_x,accel_y,roadwheel_angle,rear_wheel_torque,measured_roadwheel_angle,measured_rear_wheel_torque,roadwheel_angle_rate,rear_wheel_torque_rate,kappa_track,e_min,e_max
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.953184127807617,-36.0,0.0,1.5707964,1.5707963705062866,0.10000000149011612,0.0,0.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,-0.008809666149318218,309.8680114746094,0.0,250.0,0.5084445350803435,2996.4874267578125,-0.0,-2.25,2.25
0.02,0.0021178703755140305,0.0021178703755140305,-7.231901690829545e-05,-7.231901690829545e-05,-0.21683931350708008,-0.21683931350708008,3.953256368637085,-35.99788284301758,0.0,1.5707964,1.5708591938018799,0.09110639989376068,-0.020077012479305267,0.0011208959622308612,0.0932923498026286,-0.21690209858342313,0.32769277691841125,-0.40847334265708923,-0.0882159173488617,-0.40847334265708923,-0.0882159173488617,0.0013592245522886515,369.7977600097656,-0.008809666149318218,309.8680114746094,0.5878723110072315,2994.6334838867188,-0.0,-2.25,2.25
0.04,0.004432903602719307,0.004432903602719307,-0.0007377057918347418,-0.0007377057918347418,-0.3761414587497711,-0.3761414587497711,3.9539217948913574,-35.995567321777344,0.0,1.5707964,1.5712196826934814,0.15245257318019867,-0.060285069048404694,0.04251336678862572,0.16393924673315646,-0.37656476745172146,0.0583571158349514,1.3893460035324097,-0.25480690598487854,1.3893460035324097,-0.25480690598487854,0.013116670772433281,429.6904296875,0.0013592245522886515,369.7977600097656,0.5995942279696466,2995.103454589844,-0.0,-2.25,2.25
0.06,0.007412562612444162,0.007412562612444162,-0.0023429931607097387,-0.0023429931607097387,-0.6561011672019958,-0.6561011672019958,3.9555270671844482,-35.99258804321289,0.0,1.5707964,1.5722209215164185,0.14357805252075195,-0.11086349189281464,0.06415600329637527,0.1813983765096038,-0.6575257403699472,0.34426966309547424,0.424562931060791,-0.4501991868019104,0.424562931060791,-0.4501991868019104,0.02510855533182621,489.5924987792969,0.013116670772433281,429.6904296875,0.5995244719088076,2992.6193237304683,-0.0,-2.25,2.25
0.08,0.01082661747932434,0.01082661747932434,-0.005056880414485931,-0.005056880414485931,-0.6898952126502991,-0.6898952126502991,3.9582409858703613,-35.989173889160156,0.0,1.5707964,1.5738933086395264,0.20919030904769897,-0.17370723187923431,0.11058801412582397,0.27190952136072377,-0.6929921780732345,0.09460070729255676,1.9034994840621948,-0.6809823513031006,1.9034994840621948,-0.6809823513031006,0.037099044770002365,549.4448852539062,0.02510855533182621,489.5924987792969,0.5997139960527419,2993.3227539062495,-0.0,-2.25,2.25
0.1,0.015012922696769238,0.015012922696769238,-0.008848541416227818,-0.008848541416227818,-0.7810302376747131,-0.7810302376747131,3.9620325565338135,-35.9849853515625,0.0,1.5707964,1.5762803554534912,0.21206244826316833,-0.2125362902879715,0.1299087107181549,0.3002368342704503,-0.7865141389882194,0.34110286831855774,1.0236767530441284,-0.7869864702224731,1.0236767530441284,-0.7869864702224731,0.049093324691057205,609.3113403320312,0.037099044770002365,549.4448852539062,0.5993584170937541,2991.580200195314,-0.0,-2.25,2.25
0.12,0.019789202138781548,0.019789202138781548,-0.013316452503204346,-0.013316452503204346,-0.7151559591293335,-0.7151559591293335,3.9665005207061768,-35.98020935058594,0.0,1.5707964,1.579055666923523,0.2691638469696045,-0.2377062737941742,0.14598077535629272,0.3591008898855412,-0.7234152684364981,0.2034084051847458,1.9464421272277832,-0.8238705992698669,1.9464421272277832,-0.8238705992698669,0.06108049303293228,669.1429443359375,0.049093324691057205,609.3113403320312,0.59879720211029,2990.7775878906223,-0.0,-2.25,2.25
0.14,0.025373993441462517,0.025373993441462517,-0.018035050481557846,-0.018035050481557846,-0.6691752076148987,-0.6691752076148987,3.971219062805176,-35.97462463378906,0.0,1.5707964,1.5819518566131592,0.2951364517211914,-0.2388269305229187,0.14255322515964508,0.3796627817913868,-0.680330724290363,0.3248155415058136,1.6691319942474365,-0.754064679145813,1.6691319942474365,-0.754064679145813,0.07305643707513809,728.95849609375,0.06108049303293228,669.1429443359375,0.5962740629911426,2987.5671386718764,-0.0,-2.25,2.25
0.16,0.031704630702733994,0.031704630702733994,-0.02271439880132675,-0.02271439880132675,-0.595035195350647,-0.595035195350647,3.975898504257202,-35.96829605102539,0.0,1.5707964,1.5847914218902588,0.338478684425354,-0.23608087003231049,0.14028330147266388,0.412676625223105,-0.609030216130608,0.34135255217552185,1.9212058782577515,-0.6733474731445312,1.9212058782577515,-0.6733474731445312,0.08498191833496094,788.7098388671875,0.07305643707513809,728.95849609375,0.5889598280191425,2982.876586914064,-0.0,-2.25,2.25
0.18,0.038871798664331436,0.038871798664331436,-0.027298500761389732,-0.027298500761389732,-0.5325192213058472,-0.5325192213058472,3.980482578277588,-35.96112823486328,0.0,1.5707964,1.5875880718231201,0.3804931044578552,-0.2329217493534088,0.13905471563339233,0.44612503164676665,-0.5493109927620348,0.3945980966091156,2.035720109939575,-0.5974954962730408,2.035720109939575,-0.5974954962730408,0.09676111489534378,848.3673706054688,0.08498191833496094,788.7098388671875,0.567349418997764,2977.1667480468723,-0.0,-2.25,2.25
